========================================================================
  pKa GPR Calibration Report
  DFT method: r2SCAN-3c / CPCM(Water) + GFN2-xTB RRHO
========================================================================

  Model: Gaussian Process Regression
  Feature mode:  full
  Features:      ['δpKa_calc', 'q_acid', 'ΔE_CPCM', 'ΔBO_XC', 'ΔBO_ring', 'q_CHELPG_site']

  Training points:  214 total
    Full descriptors: 214
    Partial only:     1

  Kernel amplitude:  2.8885 pKa
  Noise level:       0.5364 pKa
  Length scales:     ['0.997', '1.629', '0.557', '0.656', '0.968', '6.630']

  LOO RMSE:  1.3975 pKa units
  LOO MAE:   0.8766 pKa units

  Physical interpretation of descriptors:
    δpKa_calc     ls=0.997  ACTIVE                        DFT deprotonation energy (charge-state centred); primary driver
    q_acid        ls=1.629  ACTIVE                        Born solvation q² baseline; separates charge-state families
    ΔE_CPCM       ls=0.557  ACTIVE                        
    ΔBO_XC        ls=0.656  ACTIVE                        
    ΔBO_ring      ls=0.968  ACTIVE                        
    q_CHELPG_site  ls=6.630  ACTIVE                        

  Active features: 6/6 (length scale < 9.5; wall-bound features ls→10.0 are negligible)

────────────────────────────────────────────────────────────────────────
  Training data with predictions:

              Compound                  Step    q   pKa_calc   pKa_exp   pKa_pred      σ      err
               adenine     Adenine→Adenine_a   +0     212.36     9.800      9.860  1.003   +0.060
               alanine  Alanine_zw→Alanine_a   +0     231.43     9.870      9.961  1.013   +0.091
            amlodipine  Amlodipine→Amlodipin   +1     202.31     9.260      7.796  0.930   -1.464
           amoxicillin  AmoxH2_cat→AmoxH_zwi   +1     207.51     2.400      2.622  0.999   +0.222
           amoxicillin  AmoxH_zwit→Amox_neut   +0     202.26     7.490      7.282  1.016   -0.208
           amoxicillin  Amox_neutr→Amox_dian   -1     216.05     9.630      9.583  1.045   -0.047
               aniline     Anilinium→Aniline   +1     198.48     4.600      4.276  0.889   -0.324
      anthranilic_acid  Anthranili→Anthranil   +1     199.63     2.050      2.079  1.019   +0.029
      anthranilic_acid  Anthranili→Anthranil   +0     204.84     4.790      5.093  1.023   +0.303
              arginine  ArgH3_dica→ArgH2_zwi   +2     198.21     2.170      2.191  1.026   +0.021
              arginine  ArgH2_zwit→ArgH_neut   +1     208.44     9.040      9.046  1.044   +0.006
              arginine  ArgH_neutr→Arg_anion   +0     217.69    12.480     12.389  1.064   -0.091
         aspartic_acid   Asp_zwitte→AspMinus   +0     205.86     3.650      4.113  1.025   +0.463
               aspirin    AspirinH→Aspirinat   +0     212.60     3.500      4.070  1.032   +0.570
              atenolol  AtenololH_→Atenolol_   +1     210.97     9.600      9.759  0.882   +0.159
       barbituric_acid  Barbituric→Barbitura   +0     211.09     4.010      4.507  1.025   +0.497
         benzimidazole  Benzimidaz→Benzimida   +1     202.72     5.530      5.411  0.846   -0.119
          benzoic_acid   BenzoicAci→Benzoate   +0     207.59     4.200      3.946  0.794   -0.254
           benzylamine  Benzylammo→Benzylami   +1     206.09     9.340      8.942  0.823   -0.398
          beta_alanine  BetaAla_ca→BetaAla_z   +1     203.93     3.550      3.412  1.023   -0.138
          beta_alanine  BetaAla_zw→BetaAla_a   +0     212.46    10.240     10.292  0.920   +0.052
      bromoacetic_acid  Bromoaceti→Bromoacet   +0     205.01     2.900      2.840  0.840   -0.060
             captopril  Captopril_→Captopril   +1     204.51     3.700      3.605  1.039   -0.095
             captopril  Captopril_→Captopril   +0     209.55     9.800      9.881  1.035   +0.081
              catechol    Catechol→Catechola   +0     212.56     9.230      9.208  1.013   -0.022
              catechol  Catecholat→Catechola   -1     228.21    13.000     12.935  1.021   -0.065
            cetirizine       CetH2+→Cet_zwit   +1     204.23     2.200      2.376  1.064   +0.176
            cetirizine      Cet_zwit→Cet_ani   +0     211.35     8.000      7.226  0.915   -0.774
     chloroacetic_acid  Chloroacet→Chloroace   +0     206.42     2.870      3.617  0.784   +0.747
        chlorpromazine  Chlorproma→Chlorprom   +1     208.47     9.300      9.288  0.921   -0.012
         ciprofloxacin  CiproH2_ca→CiproH_zw   +1     213.68     6.090      6.142  1.058   +0.052
